planet,x,y,affiliation,pagerank,betweeness
A-Foroon,660.017,-648.846,null,1.0149040225299286,879.8591608310167
Aaeton,-77.0,71.0,null,0.20249875832779082,177.0805555555555
Aargau,30.0,-17.0,null,1.970093214925731,3972.0867274180373
Aargonar,533.0,228.0,null,0.15000000000000002,0.0
Abafar,206.0,477.0,Neutral,0.35746365267335223,223.43939393939388
Abbaji,-330.0,-653.0,null,0.9054658538477598,45721.38663880146
Abhean,619.909,238.52,null,1.187220404823837,154192.67569356025
Abo Dreth,776.0,621.0,null,0.4724974424464015,85.16666666666666
Abraxas,-49.0,-722.0,null,0.7677624559707763,9733.721711621713
Abregado-rae,-63.0,-371.0,null,0.6578729285508076,24052.317422749118
Abridon,-121.0,-883.0,null,0.4102302632647531,29137.500885182006
Absit,-255.0,-933.0,null,0.35817779920088993,2194.194649345248
Adari,173.0,3.0,null,0.6726348833700225,14206.586894517684
Adarlon,167.0,-1080.0,null,0.8424641361705293,3969.4333333332315
Adin,188.0,242.0,null,3.9098066038295607,3.25
Adoris,51.0,-728.0,null,0.32248593793749314,1358.6983213619028
Aduba,933.907,-114.941,null,0.40739826823087066,6022.505161457755
Adumar,-155.0,355.0,null,0.2802340862929966,5757.817155977638
Aeneid,845.642,-19.703,null,1.8045125020431343,7604.214509253079
Aeten,-162.0,349.0,null,0.4310004872939669,8870.635987146667
Af'El,788.0,171.0,null,2.433820572346568,2.0
Affa,182.0,-346.0,null,1.1441083563445305,209282.5992587068
Affavan,747.0,-224.0,null,1.391356215368553,105483.17957360344
Agamar,194.0,484.0,null,0.19993126799441663,50.91666666666667
Agon,826.0,264.0,null,0.4986013619755407,2222.052380952381
Aguarl,256.0,-579.0,null,0.3595308299485818,45697.13808593958
Ahakista,-76.0,667.0,null,0.5435106427945523,11.333333333333336
Ahch-To,-636.0,-312.0,Light Side,0.42527955027392683,1993.6587510908687
Aikhibba,471.355,-394.331,null,0.5765617479831099,74994.08039990572
Ailon,245.0,-212.0,null,0.5374840706679507,25600.27948495303
Akrit'tar,822.0,50.0,null,0.8065175817109482,5682.1572701808
Akuria,155.0,432.0,null,0.19993126799441663,1.0
Alakatha,198.0,-665.0,null,0.503614850851984,42089.994424570454
Alashan,-142.0,430.0,null,0.3613907916336258,7174.793370649613
Alassa Major,337.142,-648.463,null,0.589524647309917,4850.271486054614
Alderaan,129.496,-5.968,Light Side,0.6611936932786017,261098.8766412412
Aldraig,104.807,-19.867,null,0.3772471661674245,18908.758520517116
Alee,654.0,22.0,null,0.5195604442924255,61932.0639492156
Aleen,72.0,249.0,null,1.1884207669022644,525.6151769854926
Algara,482.156,-579.688,null,1.6464492089742586,11452.676893006601
Algarian,518.0,-518.0,null,0.7694514603964416,10252.941245421453
Algnadesh,335.0,61.0,null,0.5393870243255307,704.9166666666747
Algor,780.0,366.0,null,0.2256398421346642,3799.000000000086
Alland,-89.0,-96.0,null,0.468108447222887,52.5
Allanteen,319.114,-409.403,null,1.6128415640677134,95304.00281848879
Allyuen,-66.0,-872.0,null,0.709938080747839,26015.380507961057
Almania,734.0,444.0,null,0.33083525586073714,300.8696040457651
Alpheridies,355.0,151.0,null,1.3413284647316253,50832.47403386983
Alsakan,17.221,10.917,null,2.1589976417535124,45988.07518379428
Althir III,513.0,314.0,null,0.15000000000000002,0.0
Altier,327.0,-366.0,null,0.3405181982765494,3496.152550166167
Altor,923.0,-369.0,null,0.29383428197413947,4162.377915493824
Altratonne,724.0,229.0,null,0.1904761828766213,27.0
Alui,308.393,-727.403,null,2.2753505118904993,169261.88519623177
Alzoc,449.0,-974.0,null,0.4747329032145173,474.91111111111115
Amarin,732.0,385.0,null,1.0625217301141867,8201.131386477693
Ambria,312.0,-31.0,null,1.0309756946260755,4268.488942165944
Ammuud,708.0,509.0,null,0.2998739958631285,37846.65959596018
Anantapar,-79.0,-816.0,null,4.219420004781074,8623.630147914146
Anaxes,41.047,24.959,Neutral,0.49123619995622675,40173.39578992834
Andalasa,429.0,-811.0,null,2.435998917314855,435.99999999999983
Andalia,368.0,96.0,null,3.9682463892024016,128230.65604345455
Andara,26.0,-311.0,null,0.6837143822856484,0.0
Andelm IV,553.0,-946.0,null,0.47483056278332275,6663.196587290702
Ando,511.0,-556.0,null,0.8297871698690126,54208.30967244941
Andooweel,665.0,-678.0,null,1.5883524614666773,22745.185248073056
Andosha,494.703,-595.572,null,1.7002059846093105,17067.27258249362
Anemcoro,-62.0,468.0,null,0.3587437300230874,48.699999999999996
Angor,-31.0,505.0,null,0.35012105509524727,2972.3719375642613
Angratha,72.0,-869.0,null,0.3973244950125594,24528.478617265362
Ank Kit'aar,372.0,-555.0,null,0.765342990475403,53549.067891711275
Ankus,-257.0,289.0,null,0.39431340103003193,93.0151515151515
Annaj,-329.842,-697.931,null,0.4381835385411623,6069.08493628012
Anoat,-95.223,-854.071,null,1.4592249730311575,1500.5832839685863
Anobis,68.0,221.0,null,0.7198904190488645,735.437124058096
Anorelga,-56.0,699.0,null,0.36124272906257865,2196.042655590024
Anoth,-178.0,-1094.0,null,0.5076377893821333,13028.978478057888
Ansion,-275.0,390.0,null,0.5849978268620932,33.33333333333333
Anstares,108.0,-787.0,null,0.3273083906984541,7631.045865391886
Antar,243.0,-215.0,null,1.0749365869008918,89336.72974805336
Anteevy,473.0,245.0,null,0.6997386634767634,73569.70853847053
Antemeridias,644.092,272.432,null,1.1964849846494807,101143.78104429606
Antipose,991.0,147.0,null,0.7191285816425722,1221.6777007839507
Antiquity,55.0,-864.0,null,0.6919542708111913,5336.530359440513
Anturus,120.0,-875.0,null,0.47451823538015775,68.92930402930402
Anx Minor,78.0,561.0,null,0.46360262020278886,23732.18284503527
Anzat,654.0,244.0,null,0.6958419969014933,38242.448169916315
Aphran,-26.0,157.0,null,0.9032685740457186,6275.1806133082355
Aquaris,291.0,207.0,null,0.7388799411818359,2746.382101998731
Aquella,116.0,-741.0,null,0.46960534940252097,1817.5034645909648
Aquilae,230.0,-222.0,null,1.227171497533451,89795.63272051627
Arabanth,384.0,7.0,null,0.3482713608725938,14065.333333333336
Aradia,-35.0,-42.0,null,0.28553033407852974,68.0
Arami,836.67,-383.335,null,1.4307442480287291,58472.04397576778
Arat Fraca,151.0,-209.0,null,1.017793496598845,2663.493541571978
Arbra,226.0,-749.0,null,0.32617002375350607,2070.129346548231
Arcan,612.0,358.0,null,1.9224528812814081,82249.71988259538
Archais,348.0,27.0,null,0.32405796675544657,4580.501982763895
Arda,565.0,318.0,null,0.8969418249092459,6600.846837628873
Argai,728.0,333.0,null,1.0745174421939978,12401.304298670779
Argai Minor,149.0,13.0,null,0.9833618781110991,4937.525575239232
Argazda,285.0,536.0,null,0.7233967682133914,2675.9746218487394
Argovia,725.0,-405.0,null,0.2374459773518615,22683.057229165926
Argus,474.0,-627.0,null,0.8381512992801712,4235.925645612683
Aridus,366.128,-420.838,null,1.5068511561929696,63323.8782849626
Aris,-12.0,412.0,null,0.6000891219758301,3611.200000000087
Arkam,183.0,-469.0,null,0.48695745038160215,29981.06940380918
Arkania,187.0,182.0,null,0.5058126143111896,584.3945966751949
Arkanis,614.052,-708.852,null,0.7907368461568373,32528.678114938444
Arkuda,508.498,372.611,null,0.9820513966016347,37055.02091868286
Arleen,872.0,179.0,null,0.4771770455947122,19186.349408351798
Arporatal-Lanin,-89.0,-849.0,null,1.5453635131694272,545.6666666666667
Arrgaw,221.997,-605.719,null,1.3337813910215361,313886.48553942225
Artesia,430.0,-180.0,null,0.7608774747612153,298451.2308214394
Aruza,-217.0,-485.0,null,0.4081769423881261,2.6666666666666665
Ashas Ree,677.0,480.0,null,5.551542665315753,19421.249314574317
Askaj,149.0,-1085.0,null,0.2874030117331956,1490.9076807995925
Asmeru,0.0,-760.0,null,0.6220293728155608,110.77499999999999
Asmeru Anomaly,10.0,-765.0,null,0.5477683370775008,10550.720668939024
Asrat,253.0,164.0,null,0.7639133898011302,26374.029860620416
Ast Kikorie,-327.0,-646.0,null,0.6159564767041006,29.21818181818182
Astion,-10.0,694.0,null,0.3609717274915146,5262.716545442861
Atapap I,209.0,-219.0,null,0.30145706611704937,15654.966299625448
Atchorb,772.0,618.0,null,0.3922072295614878,1026.9166666666665
Athiss,623.0,538.0,null,0.6345181207824329,39.25
Atollon,998.0,207.0,Light Side,0.6078072120559254,867.7666666666667
Aton,10.8,-72.0,null,1.6019397601182714,9930.952277647251
Atorra,520.0,419.0,null,0.8375798397841934,0.5
Atravis,78.0,-954.0,null,1.4746251582232464,78799.12514996226
Atron,47.0,-864.0,null,1.216505438376696,4251.284906960587
Attahox,428.0,-215.0,null,0.7465346972778312,22298.961168947826
Atzerri,148.0,-342.0,null,1.5717735650147446,208765.2765887429
Austan,691.0,-628.0,null,1.5152506503407754,5956.719402854626
Avenelle,451.0,39.0,null,0.6758865163172907,14193.013526205417
Averam,164.0,-866.0,null,0.9043939161645699,115154.42220029622
Avidich,-684.0,124.0,null,1.1435689177543635,10091.25
Axbrian,62.0,-284.0,null,0.31739480371818846,0.0
Axxila,310.0,442.0,null,0.38136182942570407,252.58939393939391
Aylayl,735.0,-262.0,null,0.5765220244025453,114105.46190485387
Aztubek,-84.763,-815.345,null,2.18222698662356,7922.029052171083
Azure,431.0,164.0,null,0.45726658637670914,87536.0189779601
Azzameen Station,254.0,-722.0,null,0.8677329035066782,45498.968790602805
B-Foroon,659.514,-651.218,null,0.8539377129621375,0.0
B'trilla,501.0,436.0,null,1.3807891985102925,36081.558118350666
Babbadod,257.0,-484.0,null,0.9654557166077388,11513.93861992557
Bacrana,370.0,-465.0,null,1.8598333451154008,26453.258367467683
Bahalian,437.0,-843.0,null,3.9615754071314466,30065.262951646466
Bajic,462.0,-872.0,null,1.9858408286515112,1671.5
Bakura,-468.0,-689.0,null,0.26084225912218534,76.07261904761904
Balamak,504.0,85.0,null,0.5069709249154886,197713.75013384357
Baldavia,364.0,31.0,null,0.6168619849856286,2035.6404406996194
Balis-Baurgh,-46.0,-628.0,null,0.6095192279322293,3924.1
Balmorra,153.0,-69.0,null,2.017561368291808,1795.9669995728927
Balnab,106.0,214.0,null,0.5134463392959152,2928.3852286957144
Balosar,31.0,-226.0,null,0.4364206410562658,1999.6584616384325
Baltizaar,-50.0,287.0,null,0.31305007254259776,21044.103981265744
Ban-Satir,747.0,529.0,null,0.32693348727858684,15339.783333333333
Bandomeer,350.0,329.0,null,0.8204560509269223,192182.66942157538
Bannistar Station,354.0,-591.0,null,1.2605756378893427,177341.28996804982
Barab,904.776,-295.852,null,1.280626848253366,41465.871100122116
Baraboo,179.0,-125.0,null,1.1286079866315355,69353.30824611444
Baradas,49.0,183.0,null,0.7618655951578843,14.833333333333332
Barcaria,-89.0,-664.0,null,0.4156371247897292,4.1
Bardotta,-183.0,-328.0,null,0.43554303713401227,508.93135968458006
Barenth,-29.0,178.0,null,0.2642346342085939,4306.98433525911
Barison,538.749,398.804,null,1.035401023432633,59436.69396709455
Barkhesh,-52.0,-981.0,null,0.21051064826971452,758.0357142857141
Barlok,105.0,160.0,null,2.831515572934055,11140.377381624447
Baroli,206.0,-449.0,null,1.0906822890983303,317218.4988386732
Baros,945.0,244.0,null,0.2480638927553777,29.799999999999997
Barseg,710.984,380.643,null,1.354776246554314,159628.5307702068
Basilisk,77.0,8.0,null,0.8686646613653081,89671.37021414608
Bassadro,76.0,-363.0,null,0.6632111595915933,63852.5168086815
Bastion,-94.0,639.0,null,0.7155203804347622,6830.406455276907
Bastooine,-217.0,-770.0,null,0.8519776302538908,3269.8468565081366
Bator Bai,47.0,-814.0,null,0.4856607020572479,3306.491879256495
Batorine,-104.0,77.0,null,0.28953845819893254,504.26425518925504
Baummu,920.0,103.0,null,0.2748905011197726,283.0249584019473
Bavva,-65.711,-841.278,null,0.5657714154065394,95551.09016217386
Begeren,660.0,555.0,null,4.407217038575902,8155.573266499581
Belasco,344.0,-140.0,null,0.5769452471741393,96286.9277662768
Belassar,-189.0,104.0,null,0.3713640013436032,15002.750145339696
Belazura,136.533,-308.388,null,3.627896986801612,123703.11960085355
Belderone,676.0,352.0,null,0.7777380269456656,10053.711264931924
Belgaroth,-7.0,-308.0,null,0.35769156201563557,0.0
Belkadan,92.0,820.0,null,0.23272210861666973,0.0
Bellassa,183.068,-152.777,null,0.9196843015640781,545063.349858235
Belnar,151.0,6.0,null,2.0304739698478724,27050.29935406684
Belsavis,109.0,-880.0,null,2.4708056650289696,6222.962863148598
Beltrix III,151.0,-480.0,null,2.137019256948587,175939.04456776634
Bendeluum,-89.517,-849.679,null,1.5482656540034905,2850.6099522294344
Bengat,-129.0,102.0,null,0.4303176041721435,2515.0256250423126
Berchest,250.0,117.0,null,0.8587520657714732,6270.051259438985
Beris,501.374,-363.518,null,0.7186866701236917,50617.445314282
Berri,256.0,21.0,null,0.41226832846216543,279789.385803981
Berrol's Donn,-15.0,-973.0,null,0.40905062972034495,33886.715741926
Besberra,62.0,-1098.0,null,1.7182288758201827,5961.595238095238
Bescane,-52.0,662.0,null,0.5759856693121326,867.3821428571429
Besero,48.0,-50.0,null,0.5316607162075139,1747.5928571428572
Besnia,253.0,-259.0,null,1.250461535233206,716.4052376960738
Bespin,-95.33,-849.857,Neutral,1.017365166551831,897.9321534969495
Bestine,105.991,-410.801,null,6.326782713610191,255377.3534806005
Betha,498.0,554.0,null,0.26382680505856543,10668.076638206618
Betshish,456.0,473.0,null,0.8736921834527968,194.45351671032782
Bettel,-29.0,-843.0,null,0.435172324704777,36634.79901082058
Bextar,-172.0,597.0,null,0.4852297196111163,3621.517301897492
Bhargebba,615.0,577.0,null,0.5084885183267898,955.2277777777779
Bheriz,915.23,-49.647,null,0.23611039124349284,3890.1560757763923
Biewa,799.0,556.0,null,0.3728577129453584,31905.40959596059
Biitu,-73.0,403.0,null,0.3925821305155146,42.466666666666676
Bilbringi,-123.0,173.0,null,0.303749804168253,1084.3006923795715
Bimin Three,279.0,-519.0,null,1.2341186709331755,2332.2549213970724
Bimmiel,243.0,598.0,null,0.29078898751530075,19.047619047619047
Bimmisaari,687.0,54.0,null,0.9856834856213779,269596.8068410572
Birgis,170.0,619.0,null,0.2450010227094152,202.81190476190477
Bisellia,-88.0,559.0,null,0.7481896213653584,1717.6
Bissillirus,560.0,-45.0,null,0.44076048094290565,1467.7201949252712
Blenjeel,562.0,-533.0,null,0.9768597267390857,56962.01144273553
Blimph,531.0,-79.0,null,1.2171538135514839,14169.957570119122
