from_planet,to_planet
A-Foroon,C-Foroon
A-Foroon,B-Foroon
A-Foroon,Piroket
Aaeton,Ragoon
Aaeton,Dachat
Aaeton,Hyabb
Aaeton,Metellos
Aargau,Primus Goluud
Aargau,Yulant
Aargau,Ixtlar
Aargau,Broest
Aargonar,Gromas
Aargonar,Ord Tiddell
Aargonar,Trancret
Aargonar,Euceron
Abafar,Salin
Abafar,Vinsoth
Abafar,Axxila
Abafar,Celanon
Abbaji,Maya Kovel
Abbaji,Vasha
Abbaji,Thonner
Abhean,Ringo Vinda
Abhean,Centares
Abhean,Euceron
Abhean,The Wheel
Abo Dreth,Brosl
Abo Dreth,Atchorb
Abo Dreth,Ulicia
Abo Dreth,Makem Te
Abraxas,Dalisor
Abraxas,Miztoc
Abraxas,Kaal
Abregado-rae,Eamus
Abregado-rae,Dentaal
Abregado-rae,Plexis
Abregado-rae,Kelada
Abridon,Taul
Abridon,Quintas
Abridon,Keskin
Abridon,Hoth
Absit,Karra
Absit,Thakwaa
Absit,Sump
Absit,Hoth
Acilaris,Zhar
Acilaris,Farstine
Adari,Raithal
Adari,Carida
Adari,Vurdon Ka
Adarlon,Skor
Adarlon,Peritor
Adarlon,Denab
Adarlon,Karideph
Adin,Ejolus
Adin,Jazbina
Adin,Draria
Adoris,Nepoy
Adoris,Caltinia
Adoris,Nars
Adoris,Ossel
Aduba,Nar Haaska
Aduba,Droxu
Aduba,Bheriz
Aduba,Glottal
Adumar,Aeten
Adumar,Namadii
Adumar,Dalron
Adumar,Per Lupelo
Aeneid,Honoghr
Aeneid,Kessel
Aeneid,Little Kessel
Aeneid,Zerm
Aeten,Troska
Aeten,Adumar
Aeten,Alashan
Aeten,Nessem
Af'El,Vaathkree
Af'El,Terman
Af'El,Sriluur
Affa,Las Lagon
Affa,Hillindor
Affa,Kooriva
Affa,Atzerri
Affavan,Rorak
Affavan,Hollastin
Affavan,Circumtore
Agamar,Cademimu
Agamar,Gandolo
Agamar,Ketaris
Agamar,Skorrupon
Agon,OHS3842-03
Agon,Iego
Agon,OHS1782-03
